code	mod_code	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes
ALCAM:22f5abeb	19229	3.0	1.0	0.0	1.0	2.0	2.0
ALCAM:22f5abeb	69426	1.0	0.0	0.0	1.0	0.0	2.0
ALCAM:22f5abeb	a	9.0	9.0	0.0	12.0	9.0	17.0
ALCAM:22f5abeb	m	0.0	2.0	0.0	1.0	1.0	2.0
ALCAM:3d10dd85	17596	0.0	0.0	0.0	1.0	1.0	3.0
ALCAM:3d10dd85	17802	0.0	0.0	0.0	1.0	0.0	3.0
ALCAM:3d10dd85	19227	0.0	0.0	1.0	2.0	1.0	0.0
ALCAM:3d10dd85	19228	0.0	0.0	0.0	0.0	0.0	0.0
ALCAM:3d10dd85	19229	2.0	0.0	1.0	2.0	1.0	0.0
ALCAM:3d10dd85	69426	0.0	0.0	0.0	0.0	0.0	0.0
ALCAM:3d10dd85	a	2.0	2.0	3.0	7.0	6.0	9.0
ALCAM:3d10dd85	m	1.0	0.0	0.0	3.0	1.0	0.0
ALCAM:60a9f375	17596	0.0	3.0	2.0	1.0	2.0	0.0
ALCAM:60a9f375	17802	5.0	1.0	3.0	1.0	3.0	3.0
ALCAM:60a9f375	19227	2.0	1.0	1.0	1.0	1.0	3.0
ALCAM:60a9f375	19228	0.0	0.0	0.0	0.0	0.0	1.0
ALCAM:60a9f375	19229	2.0	0.0	1.0	0.0	1.0	1.0
ALCAM:60a9f375	69426	1.0	0.0	0.0	0.0	0.0	0.0
ALCAM:60a9f375	a	19.0	4.0	20.0	3.0	26.0	17.0
ALCAM:60a9f375	m	3.0	1.0	0.0	0.0	1.0	0.0
ALCAM:78da81db	17596	0.0	0.0	0.0	0.0	1.0	0.0
ALCAM:78da81db	17802	2.0	2.0	0.0	0.0	3.0	1.0
ALCAM:78da81db	19227	3.0	0.0	0.0	1.0	0.0	2.0
ALCAM:78da81db	19228	0.0	0.0	0.0	0.0	0.0	1.0
ALCAM:78da81db	19229	1.0	0.0	0.0	1.0	4.0	1.0
ALCAM:78da81db	69426	0.0	0.0	0.0	0.0	1.0	1.0
ALCAM:78da81db	a	13.0	1.0	0.0	1.0	8.0	4.0
ALCAM:78da81db	m	0.0	0.0	0.0	0.0	0.0	3.0
ALCAM:87d3386e	17596	0.0	0.0	0.0	2.0	0.0	0.0
ALCAM:87d3386e	17802	1.0	0.0	2.0	3.0	0.0	1.0
ALCAM:87d3386e	19227	0.0	0.0	0.0	2.0	0.0	1.0
ALCAM:87d3386e	19228	0.0	0.0	0.0	0.0	0.0	0.0
ALCAM:87d3386e	19229	1.0	0.0	0.0	0.0	0.0	0.0
ALCAM:87d3386e	69426	0.0	0.0	0.0	0.0	1.0	0.0
ALCAM:87d3386e	a	1.0	0.0	1.0	11.0	7.0	1.0
ALCAM:87d3386e	m	1.0	0.0	1.0	3.0	0.0	0.0
ALCAM:8bb6e7eb	17596	0.0	0.0	0.0	1.0	3.0	0.0
ALCAM:8bb6e7eb	17802	0.0	0.0	0.0	1.0	6.0	1.0
ALCAM:8bb6e7eb	19227	0.0	0.0	0.0	2.0	3.0	0.0
ALCAM:8bb6e7eb	19228	0.0	0.0	0.0	0.0	0.0	0.0
ALCAM:8bb6e7eb	19229	0.0	0.0	0.0	3.0	4.0	0.0
ALCAM:8bb6e7eb	69426	0.0	0.0	0.0	1.0	0.0	0.0
ALCAM:8bb6e7eb	a	0.0	0.0	0.0	19.0	65.0	3.0
ALCAM:8bb6e7eb	m	0.0	0.0	0.0	0.0	2.0	0.0
ALCAM:964ea96f	17596	0.0	0.0	0.0	2.0	4.0	3.0
ALCAM:964ea96f	17802	0.0	0.0	0.0	4.0	4.0	0.0
ALCAM:964ea96f	19227	0.0	0.0	0.0	3.0	8.0	3.0
ALCAM:964ea96f	19228	0.0	0.0	0.0	0.0	0.0	0.0
ALCAM:964ea96f	19229	0.0	0.0	0.0	6.0	5.0	2.0
ALCAM:964ea96f	69426	0.0	0.0	0.0	2.0	2.0	1.0
ALCAM:964ea96f	a	0.0	0.0	0.0	88.0	117.0	53.0
ALCAM:964ea96f	m	0.0	0.0	0.0	2.0	3.0	1.0
ALCAM:a7a3d623	17596	0.0	0.0	0.0	1.0	0.0	0.0
ALCAM:a7a3d623	17802	0.0	0.0	0.0	1.0	2.0	2.0
ALCAM:a7a3d623	19227	0.0	0.0	1.0	2.0	0.0	0.0
ALCAM:a7a3d623	19228	0.0	0.0	0.0	0.0	0.0	0.0
ALCAM:a7a3d623	19229	0.0	0.0	0.0	0.0	0.0	0.0
ALCAM:a7a3d623	69426	0.0	0.0	0.0	0.0	1.0	0.0
ALCAM:a7a3d623	a	0.0	1.0	2.0	11.0	7.0	8.0
ALCAM:a7a3d623	m	0.0	0.0	0.0	0.0	0.0	0.0
ALCAM:b2cf9384	17596	3.0	2.0	0.0	1.0	4.0	0.0
ALCAM:b2cf9384	17802	3.0	3.0	7.0	2.0	8.0	4.0
ALCAM:b2cf9384	19227	2.0	4.0	3.0	0.0	7.0	1.0
ALCAM:b2cf9384	19228	1.0	0.0	0.0	0.0	0.0	0.0
ALCAM:b2cf9384	19229	1.0	5.0	0.0	1.0	4.0	4.0
ALCAM:b2cf9384	69426	1.0	0.0	1.0	1.0	4.0	2.0
ALCAM:b2cf9384	a	15.0	13.0	18.0	10.0	45.0	26.0
ALCAM:b2cf9384	m	1.0	1.0	1.0	0.0	4.0	0.0
ALCAM:b511e133	17596	9.0	29.0	20.0	5.0	12.0	10.0
ALCAM:b511e133	17802	20.0	45.0	24.0	7.0	13.0	7.0
ALCAM:b511e133	19227	23.0	38.0	21.0	4.0	18.0	14.0
ALCAM:b511e133	19228	2.0	5.0	2.0	2.0	5.0	1.0
ALCAM:b511e133	19229	11.0	14.0	13.0	6.0	5.0	2.0
ALCAM:b511e133	69426	6.0	9.0	10.0	6.0	2.0	2.0
ALCAM:b511e133	a	93.0	152.0	133.0	54.0	92.0	58.0
ALCAM:b511e133	m	6.0	8.0	7.0	1.0	5.0	3.0
ALCAM:c05def0c	17596	0.0	0.0	2.0	0.0	0.0	0.0
ALCAM:c05def0c	17802	0.0	0.0	1.0	0.0	1.0	3.0
ALCAM:c05def0c	19227	0.0	0.0	1.0	0.0	6.0	1.0
ALCAM:c05def0c	19228	0.0	0.0	0.0	1.0	2.0	0.0
ALCAM:c05def0c	19229	0.0	0.0	0.0	0.0	5.0	2.0
ALCAM:c05def0c	69426	0.0	0.0	0.0	0.0	0.0	2.0
ALCAM:c05def0c	a	0.0	3.0	5.0	23.0	59.0	35.0
ALCAM:c05def0c	m	0.0	0.0	1.0	0.0	2.0	1.0
ALCAM:dfe6b498	17596	0.0	1.0	0.0	1.0	4.0	0.0
ALCAM:dfe6b498	17802	0.0	1.0	1.0	1.0	2.0	0.0
ALCAM:dfe6b498	19227	0.0	0.0	0.0	0.0	2.0	0.0
ALCAM:dfe6b498	19228	0.0	0.0	0.0	0.0	0.0	0.0
ALCAM:dfe6b498	19229	0.0	0.0	2.0	0.0	4.0	1.0
ALCAM:dfe6b498	69426	0.0	0.0	0.0	0.0	0.0	1.0
ALCAM:dfe6b498	a	0.0	2.0	2.0	10.0	22.0	2.0
ALCAM:dfe6b498	m	0.0	0.0	0.0	2.0	1.0	0.0
ALCAM:e812204a	17596	47.0	65.0	51.0	23.0	26.0	19.0
ALCAM:e812204a	17802	65.0	89.0	66.0	18.0	32.0	13.0
ALCAM:e812204a	19227	63.0	70.0	58.0	23.0	31.0	11.0
ALCAM:e812204a	19228	15.0	12.0	15.0	2.0	4.0	4.0
ALCAM:e812204a	19229	41.0	44.0	49.0	8.0	30.0	12.0
ALCAM:e812204a	69426	23.0	13.0	11.0	9.0	10.0	5.0
ALCAM:e812204a	a	323.0	433.0	374.0	115.0	245.0	138.0
ALCAM:e812204a	m	28.0	36.0	30.0	9.0	11.0	9.0
ALCAM:f99ed0cc	17596	10.0	13.0	10.0	2.0	6.0	0.0
ALCAM:f99ed0cc	17802	11.0	9.0	21.0	7.0	9.0	6.0
ALCAM:f99ed0cc	19227	21.0	18.0	12.0	6.0	8.0	4.0
ALCAM:f99ed0cc	19228	4.0	3.0	2.0	1.0	4.0	0.0
ALCAM:f99ed0cc	19229	6.0	12.0	7.0	4.0	8.0	1.0
ALCAM:f99ed0cc	69426	0.0	4.0	1.0	2.0	1.0	0.0
ALCAM:f99ed0cc	a	64.0	72.0	114.0	25.0	84.0	23.0
ALCAM:f99ed0cc	m	4.0	4.0	9.0	2.0	4.0	0.0
HEBP2:a9f5b516	17596	5.0	1.0	1.0	0.0	1.0	5.0
HEBP2:a9f5b516	17802	5.0	0.0	1.0	3.0	3.0	7.0
HEBP2:a9f5b516	19227	7.0	2.0	0.0	3.0	4.0	5.0
HEBP2:a9f5b516	19228	2.0	0.0	1.0	0.0	1.0	2.0
HEBP2:a9f5b516	19229	10.0	1.0	2.0	3.0	7.0	4.0
HEBP2:a9f5b516	69426	1.0	1.0	0.0	0.0	1.0	2.0
HEBP2:a9f5b516	a	78.0	15.0	15.0	13.0	35.0	158.0
HEBP2:a9f5b516	m	3.0	0.0	0.0	1.0	5.0	4.0
MXD1:0ab76cd2	17596	0.0	0.0	0.0	0.0	0.0	0.0
MXD1:0ab76cd2	17802	0.0	0.0	0.0	0.0	0.0	1.0
MXD1:0ab76cd2	19227	0.0	0.0	0.0	0.0	0.0	1.0
MXD1:0ab76cd2	19228	0.0	0.0	0.0	0.0	0.0	0.0
MXD1:0ab76cd2	19229	0.0	0.0	0.0	0.0	1.0	0.0
MXD1:0ab76cd2	69426	0.0	0.0	1.0	0.0	0.0	0.0
MXD1:0ab76cd2	a	4.0	0.0	1.0	12.0	27.0	4.0
MXD1:0ab76cd2	m	0.0	0.0	0.0	0.0	3.0	0.0
MXD1:333fb1fb	17596	0.0	0.0	0.0	0.0	0.0	0.0
MXD1:333fb1fb	17802	0.0	0.0	0.0	1.0	2.0	0.0
MXD1:333fb1fb	19227	0.0	0.0	0.0	3.0	1.0	0.0
MXD1:333fb1fb	19228	0.0	0.0	0.0	1.0	0.0	0.0
MXD1:333fb1fb	19229	0.0	0.0	0.0	1.0	3.0	1.0
MXD1:333fb1fb	69426	0.0	0.0	0.0	0.0	2.0	0.0
MXD1:333fb1fb	a	0.0	0.0	0.0	27.0	38.0	13.0
MXD1:333fb1fb	m	0.0	0.0	0.0	3.0	0.0	1.0
MXD1:74bb9bb1	17596	6.0	4.0	10.0	32.0	24.0	29.0
MXD1:74bb9bb1	17802	12.0	6.0	14.0	31.0	20.0	19.0
MXD1:74bb9bb1	19227	13.0	9.0	16.0	39.0	27.0	30.0
MXD1:74bb9bb1	19228	2.0	3.0	0.0	3.0	6.0	8.0
MXD1:74bb9bb1	19229	13.0	8.0	21.0	25.0	26.0	34.0
MXD1:74bb9bb1	69426	2.0	2.0	0.0	6.0	2.0	4.0
MXD1:74bb9bb1	a	108.0	82.0	145.0	506.0	472.0	506.0
MXD1:74bb9bb1	m	5.0	4.0	6.0	17.0	21.0	18.0
MXD1:976f6e6d	17596	0.0	0.0	0.0	0.0	0.0	0.0
MXD1:976f6e6d	17802	0.0	1.0	0.0	0.0	2.0	1.0
MXD1:976f6e6d	19227	0.0	1.0	0.0	1.0	1.0	0.0
MXD1:976f6e6d	19228	0.0	0.0	0.0	0.0	0.0	0.0
MXD1:976f6e6d	19229	0.0	0.0	0.0	0.0	1.0	0.0
MXD1:976f6e6d	69426	0.0	0.0	0.0	1.0	0.0	0.0
MXD1:976f6e6d	a	0.0	3.0	0.0	12.0	13.0	4.0
MXD1:976f6e6d	m	0.0	1.0	0.0	2.0	5.0	0.0
MXD1:b85f8815	17596	14.0	7.0	16.0	5.0	9.0	13.0
MXD1:b85f8815	17802	11.0	12.0	24.0	5.0	8.0	12.0
MXD1:b85f8815	19227	12.0	14.0	17.0	7.0	9.0	14.0
MXD1:b85f8815	19228	2.0	3.0	2.0	0.0	0.0	1.0
MXD1:b85f8815	19229	10.0	9.0	11.0	0.0	7.0	7.0
MXD1:b85f8815	69426	4.0	1.0	5.0	0.0	0.0	4.0
MXD1:b85f8815	a	59.0	79.0	107.0	47.0	80.0	100.0
MXD1:b85f8815	m	9.0	2.0	10.0	0.0	2.0	2.0
MXD1:b9ad5fa5	17596	0.0	0.0	0.0	3.0	6.0	0.0
MXD1:b9ad5fa5	17802	0.0	0.0	0.0	5.0	2.0	2.0
MXD1:b9ad5fa5	19227	0.0	0.0	0.0	4.0	5.0	0.0
MXD1:b9ad5fa5	19228	0.0	0.0	0.0	0.0	0.0	1.0
MXD1:b9ad5fa5	19229	0.0	0.0	0.0	1.0	3.0	5.0
MXD1:b9ad5fa5	69426	0.0	0.0	0.0	0.0	1.0	0.0
MXD1:b9ad5fa5	a	0.0	0.0	3.0	39.0	91.0	72.0
MXD1:b9ad5fa5	m	0.0	0.0	0.0	0.0	4.0	0.0
MXD1:e0cfdabf	17596	0.0	0.0	0.0	4.0	12.0	2.0
MXD1:e0cfdabf	17802	0.0	0.0	0.0	3.0	15.0	2.0
MXD1:e0cfdabf	19227	0.0	0.0	0.0	6.0	14.0	9.0
MXD1:e0cfdabf	19228	0.0	0.0	0.0	2.0	4.0	1.0
MXD1:e0cfdabf	19229	0.0	0.0	0.0	10.0	12.0	5.0
MXD1:e0cfdabf	69426	0.0	0.0	0.0	0.0	1.0	0.0
