gene_name	gene_id	mod_code	chrom	start0	end0	strand	ZN_transcript_index	sample	Nvalid_cov	Nmod	Ncanonical	Nother_mod	Ndelete	Nfail	Ndiff	Nnocall	frac_modified
		17596	chr2	69942959	69942960	+	2	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes	8	0	8	0	0	0	0	0	0.0
		17596	chr3	105576899	105576900	+	1	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	476	0	461	15	0	36	8	0	0.0
		17596	chr3	105576899	105576900	+	1	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	820	0	808	12	0	52	0	0	0.0
		17596	chr3	105576899	105576900	+	1	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	550	0	533	17	0	34	0	0	0.0
		17596	chr3	105576899	105576900	+	1	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	141	0	134	7	0	19	0	0	0.0
		17596	chr3	105576899	105576900	+	1	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	380	0	380	0	0	36	0	0	0.0
		17596	chr3	105576899	105576900	+	1	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes	205	0	205	0	0	27	0	0	0.0
		17596	chr3	105576899	105576900	+	2	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	68	0	58	10	0	12	0	0	0.0
		17596	chr3	105576899	105576900	+	2	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	81	0	71	10	0	15	0	0	0.0
		17596	chr3	105576899	105576900	+	2	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	110	0	110	0	0	18	0	0	0.0
		17596	chr3	105576899	105576900	+	2	HornerLab_Z1pA_no_sample_id_20250213_1950_3E_PBC48691_3a030c77_pod5_5genes	53	0	53	0	0	3	0	0	0.0
		17596	chr3	105576899	105576900	+	2	HornerLab_Z2pA_no_sample_id_20250213_1951_3F_PBC38885_f4e4aacc_pod5_5genes	82	0	82	0	0	6	0	0	0.0
		17596	chr3	105576899	105576900	+	2	HornerLab_Z3pA_no_sample_id_20250213_1951_3G_PBC48550_1032943c_pod5_5genes	21	0	21	0	0	3	0	0	0.0
		17596	chr3	105576901	105576902	+	1	HornerLab_M1pA_no_sample_id_20250213_1949_3B_PBC38951_2f55671c_pod5_5genes	218	0	218	0	0	6	0	0	0.0
		17596	chr3	105576901	105576902	+	1	HornerLab_M2pA_no_sample_id_20250213_1949_3C_PBC17736_c6754256_pod5_5genes	434	0	434	0	0	6	0	0	0.0
		17596	chr3	105576901	105576902	+	1	HornerLab_M3pA_no_sample_id_20250213_1950_3D_PBC17512_3a773761_pod5_5genes	277	0	250	27	0	19	0	0	0.0
